ID,reviews,date,nps_score,clinic,city,state,polarity_score,label,nps_label,timestamp
a2p1U000000RtL3QAK,it seems an option with our city plan ,11-08-2016,5,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.5106,Positive,Detractor,1470853800.0
a2p1U000000RpQFQA0,from my initial visit  it seems like a convenient set up with helpful services ,19-05-2017,8,Denver State Capitol Clinic,Denver,CO,0.6249,Positive,Passive,1495132200.0
a2p1U000000Rt6aQAC,well  they can t join paladina unless their employer participates ,23-11-2016,8,Arvada City of Arvada Clinic,Arvada,CO,0.3612,Positive,Passive,1479839400.0
a2p1U000000RpcHQAS,great customer service ,02-10-2017,8,Tacoma Health Center,Tacoma,WA,0.9022,Positive,Passive,1506882600.0
a2p3g000000oRXUAA2,convenient  and like the doctors and katie,07-08-2020,8,Arvada City of Arvada Clinic,Arvada,CO,0.7841,Positive,Passive,1596738600.0
a2p3g000000KzE3AAK,appointments are pretty easy to get so far   and having prescriptions  and a lab on hand make it easier ,12-02-2020,7,Seven Hills Lombardo Center Clinic,Seven Hills,OH,0.6249,Positive,Passive,1581445800.0
a2p1U000000RqQJQA0,accessibility is very good   the ma  bethany  at the arvada clinic is excellent   i have not seen dr shuherk yet ,15-07-2014,5,Arvada City of Arvada Clinic,Arvada,CO,0.7003,Positive,Detractor,1405362600.0
a2p1U000000RsodQAC,while the appt  was speedy to get  same day   i didn t have great service ,11-02-2016,6,Puyallup Meeker's Landing Clinic,Puyallup,WA,0.4404,Positive,Detractor,1455129000.0
a2p1U000000RqBdQAK,easy convenient scheduling  good amount of time with the doctor ,08-03-2019,7,Littleton Highline Professional Center Clinic,Littleton,CO,0.0,Positive,Passive,1551983400.0
a2p3g000000KynLAAS,if you are a state employee  it is a good deal ,07-01-2020,8,Arvada City of Arvada Clinic,Arvada,CO,0.6369,Positive,Passive,1578335400.0
a2p1U000000RqEzQAK,the doctor took time to get to know my health history and addressed any health concerns i had during my appointment ,22-03-2019,8,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.7425,Positive,Passive,1553193000.0
a2p1U000000RqY5QAK,love dr  robertson,20-08-2015,8,Denver State Capitol Clinic,Denver,CO,0.4404,Positive,Passive,1440009000.0
a2p1U000000RtSkQAK,i really liked dr  dealleaume and the time that she took to get to know my son and my health    i felt the care right then and there ,13-03-2017,8,Lakewood Belmar Medical Building Clinic,Lakewood,CO,0.6908,Positive,Passive,1489343400.0
a2p3g000000pIvsAAE,easy to make appointments  dr spends quality time with you,23-10-2020,8,Sussex Beer Capitol Clinic,Sussex,WI,0.7003,Positive,Passive,1603391400.0
a2p3g000000owMAAAY,easy to get appt  nice people,24-09-2020,7,Mentor Great Lakes Plaza Clinic,Mentor,OH,0.0,Positive,Passive,1600885800.0
a2p3g000000pa3PAAQ,near work  easy to schedule  easy to use ,16-11-2020,7,Denver State Capitol Clinic,Denver,CO,0.8442,Positive,Passive,1605465000.0
a2p3g000000pbs9AAA,close to home and work,18-11-2020,8,Tacoma Health Center,Tacoma,WA,0.3182,Positive,Passive,1605637800.0
a2p3g000000owNcAAI,i appreciate the time that they will commit to the patient  they invest their time to learn about their patient and how they can best serve them  in house lab work is a plus  many of their services that are done in house are covered      ,19-09-2020,8,Tacoma Health Center,Tacoma,WA,0.0,Positive,Passive,1600453800.0
a2p3g000000osHTAAY,please tell us why,29-09-2020,0,Montezuma Clinic,Denver,CO,0.0,Neutral,Detractor,1601317800.0
a2p3g000000owO0AAI,the attentive nature of the staff  but especially the doctor and the time they were able to spend with me ,18-09-2020,8,Denver Lowry Medical Plaza Clinic,Denver,CO,0.8586,Positive,Passive,1600367400.0
a2p3g000000p2CIAAY,i had a biometric screening and the person that did the screening wrote my numbers info on a post it note  my name was never written down attached to my info  my blood was then drawn and put into a tube that did not have my name on it ,12-10-2020,0,New Berlin Health Center,New Berlin,WI,0.0,Neutral,Detractor,1602441000.0
a2p3g000000pEwrAAE,my last two interactions with dr  black and the office staff have been great   however  my husband and i have had multiple instances where paladina was supposed to call us back and did not   one of these was when i spoke to dr  bernardy in late june with a covid diagnosis   she never called back   prior to that  after seeing his paladina doctor on telehealth and in person appointments my husband was waiting for a referral to have a specialist take a sample of a lesion  he was never contacted  despite him reaching out a couple of times and then me reaching out and expressing our significant displeasure for the lack of responsiveness  especially given the potential seriousness of the lesion that required more expertise than the general practitioner   we have gone with paladina because of your model which it to provide more personalized care than a regular ppo provider   this has certainly not been our experience in these cases  and in fact the level of service is far below any expectations for any medical provider ,17-10-2020,7,Denver Lowry Medical Plaza Clinic,Denver,CO,0.3612,Positive,Passive,1602873000.0
a2p3g000000pHqSAAU,personal service  very available for appointments,21-10-2020,8,DTC Centrum Healthcare Center Clinic,Greenwood Village,CO,0.0,Neutral,Passive,1603218600.0
a2p3g000000p4c0AAA,convenience to office  efficiency of location ,13-10-2020,8,Denver 15th Street Clinic,Denver,CO,0.4404,Positive,Passive,1602527400.0
a2p3g000000phCxAAI,they would not let me be seen in person  and did absolutely nothing for my pink eye ,30-11-2020,0,Pueblo Fortino Boulevard Health Center,Pueblo,CO,0.4404,Positive,Detractor,1606674600.0
a2p3g000000ou9HAAQ,it s always been easy to get an appointment  each visit has felt very comfortable and personalized  i appreciate the amount of time spent understanding my medical history ,01-10-2020,8,Denver 15th Street Clinic,Denver,CO,0.0,Positive,Passive,1601490600.0
a2p3g000000pitdAAA,quality assistance  easy appointment time  quick access to a doctor,02-12-2020,8,Monroe Campus Park Clinic,Monroe,NC,0.3612,Positive,Passive,1606847400.0
a2p3g000000pg9dAAA,quick and easy   able to speak with a doctor over the phone in a timely manner ,26-11-2020,8,Mt. Pleasant Patriots Plaza Clinic,Mount Pleasant,SC,0.4576,Positive,Passive,1606329000.0
a2p3g000000pGyaAAE,the doctor took plenty of time to answer my questions and look into any concerns i had ,20-10-2020,8,Louisville Humana West Health Center,Louisville,KY,0.7178,Positive,Passive,1603132200.0
a2p3g000000p8EpAAI,ease of use,14-10-2020,8,Federal Way 32nd Ave Clinic,Federal Way,WA,0.7178,Positive,Passive,1602613800.0
a2p3g000000oyJuAAI,wasn t very clean and very dated office soace,07-10-2020,4,New Berlin Health Center,New Berlin,WI,0.0,Neutral,Detractor,1602009000.0
a2p3g000000pPHQAA2,i feel like i m listened to and my concerns are all addressed  it s also just a really friendly environment ,31-10-2020,8,Puyallup Meeker's Landing Clinic,Puyallup,WA,0.8271,Positive,Passive,1604082600.0
a2p3g000000pZA5AAM,only had a blood test done  first time there  took   min  the receptionist girl who drew blood was very nice and did a good job  cant really form an opinion on that quick little visit ,15-11-2020,4,New Berlin Health Center,New Berlin,WI,0.2492,Positive,Detractor,1605378600.0
a2p3g000000pEvKAAU,i had to wait a week and a half for an appointment ,17-10-2020,8,Arvada City of Arvada Clinic,Arvada,CO,0.2026,Positive,Passive,1602873000.0
a2p3g000000ptZ5AAI,the clinic is in network  easy to schedule  clear communications  friendly staff ,17-12-2020,7,Sheboygan Falls Plankview Office,Sheboygan Falls,WI,0.1263,Positive,Passive,1608143400.0
a2p3g000000pVDFAA2,first visit   hard to tell from just one visit  one experience  i was overall very impressed but will need a bit more time to make a full assessment ,09-11-2020,8,DTC Centrum Healthcare Center Clinic,Greenwood Village,CO,0.6249,Positive,Passive,1604860200.0
a2p3g000000pHs4AAE,so far what i have experienced has been positive but i m not really clear on how this integrates with my horizon providers ,21-10-2020,8,Clifton Brighton Road Office,Clifton,NJ,0.4215,Positive,Passive,1603218600.0
a2p1U000000RqFiQAK,it was a good visit but only my first one so i am not exactly sure how i feel yet ,27-03-2019,8,Arvada City of Arvada Clinic,Arvada,CO,0.0516,Positive,Passive,1553625000.0
a2p3g000000LAg4AAG,friendly staff  timely appointment setup  adequate time to discuss address health issues ,20-06-2020,7,Mentor Great Lakes Plaza Clinic,Mentor,OH,0.4939,Positive,Passive,1592591400.0
a2p1U000000RtTIQA0,helpful  convient  fast,31-03-2017,8,Euclid Lincoln Electric Clinic,Euclid,OH,0.4404,Positive,Passive,1490898600.0
a2p1U000000RolYQAS,it s getting better but the constant change in staff was tough,15-01-2019,8,Arvada City of Arvada Clinic,Arvada,CO,0.1027,Positive,Passive,1547490600.0
a2p1U000000RprRQAS,rapid appts  personalized care,31-01-2018,7,Denver State Capitol Clinic,Denver,CO,0.8402,Positive,Passive,1517337000.0
a2p1U000000RoH8QAK,i was pleased with my appt   dr thomas was thorough and professional    this was my first appt ,21-06-2018,7,Akron-White Pond Drive Clinic,Akron,OH,0.5413,Positive,Passive,1529519400.0
a2p3g000000LAdEAAW,phone kept freezing up  ,08-07-2020,8,Seven Hills Lombardo Center Clinic,Seven Hills,OH,0.8829,Positive,Passive,1594146600.0
a2p1U000000RpeGQAS,good service  attention to patient care  easy to get appointment when needed quickly ,15-09-2017,8,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.8074,Positive,Passive,1505413800.0
a2p1U000000RtMBQA0,the dr listened to my concurs and was  very friendly,24-08-2016,7,Denver State Capitol Clinic,Denver,CO,0.4201,Positive,Passive,1471977000.0
a2p1U000000RpXdQAK,i initially liked what paladina said they offer  i was with one doctor   years and it cost me much more than had i continued with my primary care doctor  due to an illness  i ve seen   specialists who have pretty much milked it and my doctor with paladina could not do much  though she was very nice  i am now seeing a different paladina doctor and receiving some helpful input to bettering my condition  that said  i would not recommend paladina to others ,04-08-2017,5,DTC Centrum Healthcare Center Clinic,Greenwood Village,CO,0.9001,Positive,Detractor,1501785000.0
a2p1U000000Rsa0QAC,friendly service and great follow up ,27-08-2015,8,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.8323,Positive,Passive,1440613800.0
a2p3g000000KyuLAAS,i really like the time that the doctor took with me and the fact that he called me personally with my test results a few days later ,26-01-2020,8,Louisville Seven Counties Broadway Clinic,Louisville,KY,0.4404,Positive,Passive,1579977000.0
a2p1U000000RsgjQAC,great experience all around  from the medical assistant to the doctor we felt like people and that we were listened to  we also felt like we were in good hands and the staff went above and beyond ,19-11-2015,10,Littleton Highline Professional Center Clinic,Littleton,CO,0.762,Positive,Promoter,1447871400.0
a2p1U000000Rq8FQAS,i love that clinic  they are all so nice,19-02-2019,8,Tacoma Health Center,Tacoma,WA,0.6124,Positive,Passive,1550514600.0
a2p1U000000RqcrQAC,good md,02-10-2014,8,Tacoma Health Center,Tacoma,WA,0.0,Positive,Passive,1412188200.0
a2p1U000000RtCpQAK,due to the great staff  how soon you can be seen by a doctor  and affordability ,03-01-2017,8,Tacoma Health Center,Tacoma,WA,0.0,Positive,Passive,1483381800.0
a2p1U000000Rq8nQAC,i was seen within hours of calling and everyone was very helpful and friendly ,27-02-2019,7,Akron-White Pond Drive Clinic,Akron,OH,0.5773,Positive,Passive,1551205800.0
a2p1U000000RpqnQAC,i was misdiagnosed and ended up in an urgent care   days later ,02-01-2018,0,Louisville Humana West Health Center,Louisville,KY,0.3612,Positive,Detractor,1514831400.0
a2p1U000000RqOXQA0,i have not used it enough and i feel the logistics between the   clinics and records passing back and forth between facilities is not worked out yet ,10-04-2014,5,Arvada City of Arvada Clinic,Arvada,CO,0.3182,Positive,Detractor,1397068200.0
a2p1U000000Rq6QQAS,prompt service cost was cheap,10-02-2019,8,Pueblo West Generations Primary Care,Pueblo West,CO,0.4019,Positive,Passive,1549737000.0
a2p1U000000l8GGQAY,did not care for the doctor i saw   he is nothing like dr song,28-10-2019,5,Seven Hills Lombardo Center Clinic,Seven Hills,OH,0.4364,Positive,Detractor,1572201000.0
a2p1U000000l8FjQAI,i like dr  jennifer watson ,26-10-2019,8,Akron-White Pond Drive Clinic,Akron,OH,0.9152,Positive,Passive,1572028200.0
a2p1U000000RqeTQAS,the ability to have longer visits with the doctors to cover all issues ,30-10-2014,8,Tacoma Health Center,Tacoma,WA,0.4927,Positive,Passive,1414607400.0
a2p1U000000RppwQAC,this program was promoted as a way to see a doctor quickly and lessen the time away from work  i work in puyallup  i was sick and requested an appointment on thursday for vertigo  ear and sinus infection  the dr  in puyallup had no openings  called and wanted me to drive to tacoma the following day at       to be seen  i went to sound family medicine and was treated the same day ,11-12-2017,3,Puyallup Meeker's Landing Clinic,Puyallup,WA,0.4215,Positive,Detractor,1512930600.0
a2p1U000000RtLfQAK,very patient focused,11-08-2016,7,Seven Hills Lombardo Center Clinic,Seven Hills,OH,0.4404,Positive,Passive,1470853800.0
a2p1U000000RpFvQAK,great place  very friendly environment  the doctor nina and tina the nurse are the best  they make feel that i can tell them anything and will be listened ,06-07-2019,7,Euclid Lincoln Electric Clinic,Euclid,OH,0.0,Positive,Passive,1562351400.0
a2p1U000000RpCbQAK,it s convenient   dr nina is very easy to talk to and is very knowledgeable,17-06-2019,8,Seven Hills Lombardo Center Clinic,Seven Hills,OH,0.7269,Positive,Passive,1560709800.0
a2p1U000000RqUFQA0,both the dr and nurse were professional  nice and accommodating ,11-12-2014,8,Arvada City of Arvada Clinic,Arvada,CO,0.9231,Positive,Passive,1418236200.0
a2p3g000000KzsWAAS,i have always had good relationships with my doctors there ,29-04-2020,8,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.0,Positive,Passive,1588098600.0
a2p1U000000RoWsQAK,simplicity of use,22-05-2019,8,Denver State Capitol Clinic,Denver,CO,0.0,Neutral,Passive,1558463400.0
a2p1U000000RoSZQA0,easy to get in and out  my doctor is friendly ,01-05-2019,5,Lakewood Belmar Medical Building Clinic,Lakewood,CO,0.5574,Positive,Detractor,1556649000.0
a2p1U000000RtD2QAK,i don t care for the new doctor  dr  mccay  the nursing staff is still phenomenal  but dr  noble was much more personable and eager to help his patients in any way he could ,04-01-2017,5,Louisville Park Plaza Clinic,Louisville,KY,0.8832,Positive,Detractor,1483468200.0
a2p1U000000RpoGQAS,takes so long,18-12-2017,5,Oconomowoc Sentry Equipment Clinic,Oconomowoc,WI,0.6908,Positive,Detractor,1513535400.0
a2p3g000000KyqjAAC,close to work,15-01-2020,8,Denver State Capitol Clinic,Denver,CO,0.6908,Positive,Passive,1579026600.0
a2p1U000000RsxzQAC,very thorough first visit  definitely felt as though there was adequate time to discus health issues ,10-09-2016,8,DTC Centrum Healthcare Center Clinic,Greenwood Village,CO,0.4404,Positive,Passive,1473445800.0
a2p1U000000RqCnQAK,i felt very cared for  i felt compassion from all i encountered  i love that they seek to get people off of meds by choosing healthier lifestyles ,21-03-2019,8,Akron-White Pond Drive Clinic,Akron,OH,0.0,Positive,Passive,1553106600.0
a2p3g000000L1OBAA0,helpful and financially beneficial,02-06-2020,8,Beachwood Science Park Drive,Beachwood,OH,0.0,Neutral,Passive,1591036200.0
a2p1U000000RoZvQAK,felt like i didn t get the care i needed,09-11-2018,4,Arvada City of Arvada Clinic,Arvada,CO,0.2263,Positive,Detractor,1541701800.0
a2p1U000000l8CHQAY,convenient and easy,15-10-2019,8,Arvada City of Arvada Clinic,Arvada,CO,0.0,Positive,Passive,1571077800.0
a2p1U000000RoTvQAK,i usually don t refer places to anyone ,08-05-2019,7,Euclid Lincoln Electric Clinic,Euclid,OH,0.4019,Positive,Passive,1557253800.0
a2p1U000000RqKeQAK,was able to get an appointment quickly   dr  took alot of time with me ,12-05-2016,6,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.4939,Positive,Detractor,1462991400.0
a2p1U000000RqccQAC,i enjoy the convenience of paladina and the lack of crowds and long waiting times ,29-08-2014,8,Tacoma Health Center,Tacoma,WA,0.34,Positive,Passive,1409250600.0
a2p1U000000l8ESQAY,it s inexpensive and convenient ,23-10-2019,8,Lakewood Belmar Medical Building Clinic,Lakewood,CO,0.7425,Positive,Passive,1571769000.0
a2p3g000000oRlzAAE,office was clean  doctor  was knowledgeable and took time ,29-07-2020,8,Seven Hills Lombardo Center Clinic,Seven Hills,OH,0.0,Positive,Passive,1595961000.0
a2p1U000000RoN4QAK,in and out quickly  dr g is pretty thorough and informative ,03-04-2019,7,Mentor Great Lakes Plaza Clinic,Mentor,OH,0.6249,Positive,Passive,1554229800.0
a2p1U000000RvGWQA0,it is convenient  and easily accessible,30-09-2019,8,Denver State Capitol Clinic,Denver,CO,0.6908,Positive,Passive,1569781800.0
a2p1U000000RsofQAC,only been to the office twice  once to make the appointment and the second time for the appointment   staff was courteous and i didn t have to wait long  dr  giles took time to let me ask questions and seemed very engaged and provided detailed answers ,25-02-2016,8,Tacoma Health Center,Tacoma,WA,0.8126,Positive,Passive,1456338600.0
a2p1U000000Rqc1QAC,staff is very personable and approachable ,18-09-2014,8,Federal Way 32nd Ave Clinic,Federal Way,WA,0.6775,Positive,Passive,1410978600.0
a2p1U000000RqBgQAK,great doctor  took the time in discussing issues and providing information regarding the issues ,09-03-2019,8,Denver State Capitol Clinic,Denver,CO,0.1779,Positive,Passive,1552069800.0
a2p3g000000KzCKAA0,good hours  nice dr ,05-02-2020,8,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.7178,Positive,Passive,1580841000.0
a2p1U000000Rom9QAC,location is convenient and staff is friendly and professional   plus  they treat you like family ,04-02-2019,8,DTC Centrum Healthcare Center Clinic,Greenwood Village,CO,0.5106,Positive,Passive,1549218600.0
a2p1U000000Rsa5QAC,first time i ve visited   very pleasant  nice friendly staff   but not enough time experience to give a resounding recommendation yet  called on monday  couldn t get appointment before thursday   not the exactly the see us on a moments notice that was advertised ,23-12-2014,7,Broomfield Buffalo Ridge Clinic,Broomfield,CO,0.9512,Positive,Passive,1419273000.0
a2p3g000000LAfxAAG,easy to schedule  no long wait  available appt dates,22-06-2020,8,Louisville Park Plaza Clinic,Louisville,KY,0.4095,Positive,Passive,1592764200.0
a2p1U000000Rt4EQAS,easy to get an appointment  short wait times  very helpful financially ,13-10-2016,8,Louisville Humana East Health Center,Louisville,KY,0.4404,Positive,Passive,1476297000.0
a2p4w000002O4WyAAK,when you are sick the clinic is never open   you have to do a phone call or a video chat with them ,29-12-2021,6,Local 210 Clinic,Merrillville,IN,0.8442,Positive,Detractor,1640716200.0
a2p4w000002O47eAAC,i have seen terri  pa twice now for wellness exams  she seems rushed and abrupt  i get the sense that she is competent and knowledgeable  but she doesn t seem interested in me as a whole person  i have been very pleased with other staff i have met for urgent care ,17-12-2021,5,Grand Junction Trailhead Clinic,Grand Junction,CO,0.1901,Positive,Detractor,1639679400.0
a2p1U000000Ro4ZQAS,not bad but not excellent service   i feel like my time is not was not valued   even when scheduling an appointment and every time i ve gone in  i ve had to wait   having to wait when i was the only one in the clinic had me raising an eye brow      ,02-05-2018,8,Louisville Humana East Health Center,Louisville,KY,0.0,Neutral,Passive,1525199400.0
a2p1U000000Rq1NQAS,easy to use,18-03-2018,6,New Berlin Health Center,New Berlin,WI,0.0108,Positive,Detractor,1521311400.0
a2p1U000000Ro7SQAS,easy and convenient to make appointments  my doctor is excellent  i feel like i get personal attention ,09-04-2018,8,Boulder Goose Creek Clinic,Boulder,CO,0.4404,Positive,Passive,1523212200.0
a2p1U000000RqGMQA0,like my dr  but the hours are tough  called sat night with a fever and there is no one to help me ,03-04-2019,6,Denver 15th Street Clinic,Denver,CO,-0.569,Negative,Detractor,1554229800.0
a2p1U000000RopKQAS,i work for a municipality and all employees use paladina,25-01-2019,4,Boulder Goose Creek Clinic,Boulder,CO,0.1376,Positive,Detractor,1548354600.0
a2p1U000000RsWeQAK,first visit  it seems my coast guard physical that was filled out during my yearly physical is lost  two days after my physical i called morgan with the request to call in my prescription to the hwy    harris teether pharmacy  today  saturday  my wife had to beg for   pills because it wasn t called in  never had that problem with my old doctors office ,07-06-2014,3,Mt. Pleasant Patriots Plaza Clinic,Mount Pleasant,SC,0.8074,Positive,Detractor,1402079400.0
a2p1U000000RsVhQAK,great service  no wait ,29-08-2014,6,Mt. Pleasant Patriots Plaza Clinic,Mount Pleasant,SC,0.6705,Positive,Detractor,1409250600.0
a2p1U000000RtDVQA0,no wait  respectful of my time,23-01-2017,8,Northglenn Metro North Clinic,Northglenn,CO,0.7506,Positive,Passive,1485109800.0
